sample_id,population_abbreviation,project,coverage_hifi,deepconsensus_coverage_hifi,coverage_mm_hifi,production,n50_hifi,coverage_hic,coverage_ill,total_reads_kinnex,coverage_ont,coverage_100kb_ont,coverage_100kb_R1041,coverage_100kb_R941,sequencing_chemistry_ont,read_N50_ont,meth_wg_cov
HG02109,ACB,HPRC_PLUS,70.67,35.37,35.30,HPRC_REVIO_EA_2023,19050.38,40.44,,,209.33,82.51,0.00,82.51,R941,81411.30,35.30
HG02129,KHV,HPRC,61.19,40.89,56.10,WUSTL_HPRC_HiFi_Year3,18275.00,99.60,38.06,21855729.00,41.88,16.26,0.00,16.26,R941,81754.87,56.10
HG02132,KHV,HPRC,66.62,44.92,61.20,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,19834.15,138.23,37.13,13409159.00,69.09,22.92,0.00,22.92,R941,73605.75,61.20
HG02135,KHV,HPRC,62.36,43.96,54.40,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,17649.75,118.56,38.00,14557870.00,76.11,25.32,0.00,25.32,R941,73651.02,54.40
HG02145,ACB,HPRC_PLUS,81.18,43.28,37.90,HPRC_REVIO_EA_2023,19246.53,36.68,34.09,,106.59,45.67,0.00,45.67,R941,88248.05,37.90
HG02148,PEL,HPRC,61.90,47.00,14.90,WUSTL_HPRC_HiFi_Year1_TopUp,18493.12,72.70,38.37,11042292.00,62.63,19.16,0.00,19.16,R941,69046.98,56.10
HG02155,CDX,HPRC,72.73,45.03,63.00,WUSTL_HPRC_HiFi_Year3,19108.65,61.62,33.80,31096825.00,75.67,30.86,0.00,30.86,R941,83891.11,63.00
HG02165,CDX,HPRC,65.38,50.78,58.10,UW_HPRC_HiFi_Y3,20392.72,44.46,36.41,14542468.00,66.84,30.19,0.00,30.19,R941,91530.37,58.10
HG02178,CDX,HPRC,63.30,0.00,63.30,RU_Y4,22031.25,44.86,35.69,16132486.00,59.44,22.52,22.52,0.00,R1041,79372.34,63.30
HG02257,ACB,HPRC,67.59,42.89,24.70,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,19276.74,59.22,37.58,21773351.00,44.79,16.54,0.00,16.54,R941,78295.63,61.90
HG02258,ACB,HPRC,64.98,45.38,56.10,WUSTL_HPRC_HiFi_Year3,19168.02,35.60,36.73,21017749.00,49.73,25.01,0.00,25.01,R941,100734.33,56.10
HG02273,PEL,HPRC,56.88,44.48,51.60,WUSTL_HPRC_HiFi_Year3,20784.84,230.78,35.55,27501145.00,68.00,30.55,0.00,30.55,R941,90301.49,51.60
